word,pitches,label
frying,"[378818.0625, 0, 0, 0, 0]",1
the,"[435606.46875, 0, 0, 0, 0]",0
system.,"[435606.46875, 0, 0, 0, 0]",1
Volume,"[393144.5625, 0, 0, 0, 0]",1
1,"[361929.3125, 0, 0, 0, 0]",1
of,"[370890.46875, 385259.65625, 0, 0, 0]",1
the,"[385259.65625, 0, 0, 0, 0]",0
Foundations,"[385259.65625, 387282.09375, 0, 0, 0]",1
of,"[396481.21875, 0, 0, 0, 0]",0
Cognitive,"[396481.21875, 376405.46875, 0, 0, 0]",1
Grammar,"[376405.46875, 396549.28125, 0, 0, 0]",1
is,"[405307.53125, 368571.65625, 0, 0, 0]",0
entitled,"[368571.65625, 382605.0, 0, 0, 0]",1
Theoretical,"[403685.03125, 415900.96875, 407761.4375, 352756.90625, 0]",1
Pre,"[352756.90625, 383175.59375, 0, 0, 0]",1
-Requests.,"[383175.59375, 386762.5, 0, 0, 0]",1
He,"[445308.59375, 0, 0, 0, 0]",0
is,"[423320.78125, 0, 0, 0, 0]",0
buried,"[423320.78125, 0, 0, 0, 0]",1
at,"[388182.78125, 0, 0, 0, 0]",1
St,"[388182.78125, 0, 0, 0, 0]",1
" Thomas,","[384594.78125, 0, 0, 0, 0]",1
a,"[397553.46875, 0, 0, 0, 0]",0
Piscopal,"[397553.46875, 445188.75, 0, 0, 0]",1
Church,"[445188.75, 0, 0, 0, 0]",1
cemetery,"[375898.71875, 392154.53125, 0, 0, 0]",1
in,"[348176.78125, 440992.46875, 0, 0, 0]",1
" Garrison,","[440992.46875, 403549.65625, 0, 0, 0]",1
Maryland.,"[374390.78125, 0, 0, 0, 0]",1
The,"[334816.46875, 384536.78125, 376745.125, 317432.21875, 0]",0
magnitude,"[370445.875, 387555.59375, 0, 0, 0]",1
of,"[387555.59375, 0, 0, 0, 0]",1
the,"[394191.65625, 0, 0, 0, 0]",0
event,"[394191.65625, 0, 0, 0, 0]",1
was,"[464101.53125, 394326.21875, 0, 0, 0]",0
consistent,"[380933.28125, 413210.9375, 0, 0, 0]",1
with,"[413210.9375, 0, 0, 0, 0]",1
previous,"[424465.28125, 374715.28125, 0, 0, 0]",1
earthquakes,"[374715.28125, 390515.09375, 0, 0, 0]",1
in,"[378839.21875, 346412.65625, 0, 0, 0]",1
this,"[346412.65625, 0, 0, 0, 0]",0
region.,"[367593.59375, 400949.84375, 0, 0, 0]",1
In,"[449123.5625, 0, 0, 0, 0]",1
the,"[449123.5625, 0, 0, 0, 0]",0
same,"[402136.6875, 0, 0, 0, 0]",1
" article,","[402136.6875, 423230.15625, 0, 0, 0]",1
Gardner,"[344748.59375, 0, 0, 0, 0]",1
denied,"[400686.125, 0, 0, 0, 0]",1
that,"[400686.125, 0, 0, 0, 0]",1
he,"[425361.09375, 0, 0, 0, 0]",0
condoned,"[425361.09375, 465349.78125, 0, 0, 0]",1
Peter,"[429669.03125, 0, 0, 0, 0]",1
Filia.,"[429855.5, 0, 0, 0, 0]",1
They,"[408097.53125, 0, 0, 0, 0]",0
are,"[408097.53125, 0, 0, 0, 0]",0
a,"[381980.09375, 0, 0, 0, 0]",0
growing,"[381980.09375, 399426.53125, 0, 0, 0]",1
dragon,"[396745.5625, 390177.46875, 0, 0, 0]",1
boat,"[390177.46875, 0, 0, 0, 0]",1
" community,","[369653.90625, 388048.53125, 0, 0, 0]",1
consisting,"[364208.6875, 381191.53125, 0, 0, 0]",1
of,"[376355.9375, 412274.59375, 0, 0, 0]",1
both,"[412274.59375, 0, 0, 0, 0]",1
adult,"[404062.375, 0, 0, 0, 0]",1
and,"[365586.90625, 366772.25, 0, 0, 0]",0
junior,"[366772.25, 391702.28125, 0, 0, 0]",1
teams.,"[391702.28125, 399462.21875, 0, 0, 0]",1
" Meanwhile,","[399272.09375, 407792.84375, 0, 0, 0]",0
the,"[359516.15625, 0, 0, 0, 0]",0
president,"[359516.15625, 0, 0, 0, 0]",1
would,"[359762.78125, 0, 0, 0, 0]",0
be,"[444790.46875, 0, 0, 0, 0]",0
elected,"[444790.46875, 387151.46875, 0, 0, 0]",1
by,"[387151.46875, 383469.0625, 0, 0, 0]",1
a,"[383469.0625, 0, 0, 0, 0]",0
mixture,"[397711.75, 0, 0, 0, 0]",1
of,"[402826.84375, 0, 0, 0, 0]",0
the,"[362895.53125, 0, 0, 0, 0]",0
two,"[362895.53125, 0, 0, 0, 0]",1
modes.,"[366158.0, 0, 0, 0, 0]",1
new,"[405367.1875, 0, 0, 0, 0]",1
weapon,"[405265.625, 351737.40625, 0, 0, 0]",1
handling,"[351737.40625, 341408.65625, 0, 0, 0]",1
procedures,"[426965.46875, 385529.09375, 0, 0, 0]",1
were,"[385529.09375, 379582.28125, 414680.15625, 0, 0]",0
also,"[414680.15625, 386949.90625, 0, 0, 0]",0
introduced.,"[377264.28125, 378127.59375, 0, 0, 0]",1
all,"[412023.9375, 0, 0, 0, 0]",1
of,"[412023.9375, 0, 0, 0, 0]",0
its,"[401454.65625, 0, 0, 0, 0]",0
downloadable,"[401454.65625, 416992.0, 0, 0, 0]",1
contents,"[407283.90625, 391522.875, 0, 0, 0]",1
are,"[391522.875, 400254.40625, 0, 0, 0]",0
expected,"[387149.21875, 348784.40625, 0, 0, 0]",1
to,"[348784.40625, 0, 0, 0, 0]",0
be,"[391005.59375, 0, 0, 0, 0]",0
free.,"[391005.59375, 0, 0, 0, 0]",1
Yann,"[400404.90625, 0, 0, 0, 0]",1
is,"[415954.375, 0, 0, 0, 0]",0
also,"[394519.75, 402675.40625, 0, 0, 0]",0
extensively,"[402675.40625, 332031.46875, 386713.0625, 0, 0]",1
cultivated,"[380346.53125, 369190.78125, 0, 0, 0]",1
throughout,"[386333.03125, 412824.4375, 0, 0, 0]",1
the,"[392615.96875, 0, 0, 0, 0]",0
city.,"[392615.96875, 0, 0, 0, 0]",1
It,"[455185.21875, 0, 0, 0, 0]",0
is,"[455185.21875, 0, 0, 0, 0]",0
a,"[344519.34375, 0, 0, 0, 0]",0
freeway,"[344519.34375, 367761.875, 0, 0, 0]",1
" standard,","[371206.25, 428682.34375, 0, 0, 0]",1
partial,"[354677.59375, 0, 0, 0, 0]",0
beltway,"[411178.90625, 380877.09375, 0, 0, 0]",0
around,"[372576.0, 361705.15625, 0, 0, 0]",0
the,"[389996.71875, 0, 0, 0, 0]",0
south,"[389996.71875, 370421.65625, 0, 0, 0]",0
west,"[370421.65625, 0, 0, 0, 0]",0
side,"[357924.0, 389353.09375, 0, 0, 0]",0
of,"[370674.03125, 386837.59375, 399958.5625, 400758.03125, 0]",0
Richmond.,"[400758.03125, 434326.75, 0, 0, 0]",1
One,"[420782.46875, 0, 0, 0, 0]",0
feature,"[429904.6875, 405038.0, 0, 0, 0]",0
of,"[405038.0, 377492.875, 0, 0, 0]",0
the,"[399578.34375, 0, 0, 0, 0]",0
reference,"[399578.34375, 382084.9375, 0, 0, 0]",1
line,"[382084.9375, 383955.84375, 0, 0, 0]",1
is,"[383955.84375, 399952.28125, 0, 0, 0]",0
the,"[451714.59375, 0, 0, 0, 0]",0
use,"[372614.09375, 0, 0, 0, 0]",0
of,"[372614.09375, 0, 0, 0, 0]",0
the,"[366868.15625, 0, 0, 0, 0]",0
trademark,"[373915.03125, 413943.96875, 0, 0, 0]",1
suramatallic,"[413943.96875, 400171.03125, 378346.53125, 392107.15625, 0]",1
woofers.,"[418005.28125, 428020.4375, 388317.75, 0, 0]",1
This,"[389614.65625, 0, 0, 0, 0]",0
causes,"[394207.65625, 0, 0, 0, 0]",0
him,"[412329.03125, 0, 0, 0, 0]",0
to,"[412329.03125, 0, 0, 0, 0]",0
forget,"[421984.75, 0, 0, 0, 0]",0
about,"[444364.28125, 0, 0, 0, 0]",0
Kate's,"[444364.28125, 408401.53125, 0, 0, 0]",1
alter,"[397570.40625, 0, 0, 0, 0]",1
ego,"[397570.40625, 0, 0, 0, 0]",1
and,"[416436.34375, 428245.1875, 0, 0, 0]",0
lose,"[420718.53125, 0, 0, 0, 0]",0
his,"[386357.53125, 0, 0, 0, 0]",0
powers.,"[386357.53125, 393834.28125, 0, 0, 0]",1
The,"[384473.90625, 0, 0, 0, 0]",0
razor,"[384473.90625, 0, 0, 0, 0]",1
" unsigmented,","[366483.75, 395715.65625, 400406.34375, 0, 0]",1
leopard,"[395184.15625, 0, 0, 0, 0]",1
doe,"[395184.15625, 389948.96875, 0, 0, 0]",0
" chiquilla,","[389948.96875, 347458.5, 0, 0, 0]",1
resulting,"[385612.53125, 0, 0, 0, 0]",0
in,"[390599.4375, 0, 0, 0, 0]",0
a,"[390599.4375, 0, 0, 0, 0]",0
rather,"[403628.28125, 380960.65625, 0, 0, 0]",0
stiff,"[380960.65625, 362800.59375, 0, 0, 0]",0
structure.,"[362800.59375, 381312.40625, 0, 0, 0]",0
The,"[399994.40625, 0, 0, 0, 0]",0
telescope,"[399994.40625, 404686.59375, 0, 0, 0]",1
replaced,"[379475.1875, 399195.4375, 385308.65625, 0, 0]",1
a,"[385308.65625, 394964.03125, 0, 0, 0]",0
telescope,"[394964.03125, 408657.09375, 0, 0, 0]",1
that,"[425207.0, 0, 0, 0, 0]",0
he,"[425207.0, 0, 0, 0, 0]",0
had,"[382580.65625, 0, 0, 0, 0]",0
built,"[382580.65625, 0, 0, 0, 0]",0
previously.,"[373319.71875, 367352.65625, 0, 0, 0]",0
The,"[376445.90625, 0, 0, 0, 0]",0
hundred,"[376445.90625, 361825.71875, 0, 0, 0]",1
largest,"[355778.9375, 385806.8125, 0, 0, 0]",1
towns,"[385806.8125, 356623.28125, 0, 0, 0]",1
are,"[381477.15625, 396348.65625, 0, 0, 0]",0
listed.,"[396348.65625, 407175.34375, 0, 0, 0]",0
Its,"[372354.5625, 0, 0, 0, 0]",0
name,"[372354.5625, 0, 0, 0, 0]",0
was,"[375985.65625, 0, 0, 0, 0]",0
taken,"[355883.3125, 0, 0, 0, 0]",0
from,"[373296.1875, 404174.875, 0, 0, 0]",0
Buffalo,"[404174.875, 388651.96875, 0, 0, 0]",1
Bill.,"[388651.96875, 0, 0, 0, 0]",1
and,"[450491.90625, 0, 0, 0, 0]",0
the,"[450491.90625, 0, 0, 0, 0]",0
film,"[419256.15625, 0, 0, 0, 0]",1
begins,"[419256.15625, 0, 0, 0, 0]",1
with,"[448723.28125, 380420.3125, 0, 0, 0]",0
a,"[380420.3125, 0, 0, 0, 0]",0
figure,"[380420.3125, 0, 0, 0, 0]",1
running,"[431356.21875, 0, 0, 0, 0]",1
towards,"[370579.5, 0, 0, 0, 0]",1
a,"[404344.03125, 0, 0, 0, 0]",0
motorway,"[404344.03125, 410689.6875, 0, 0, 0]",1
bridge.,"[370902.46875, 0, 0, 0, 0]",1
free,"[433965.34375, 0, 0, 0, 0]",1
political,"[419567.3125, 368991.75, 0, 0, 0]",1
prisoners,"[368991.75, 393752.15625, 0, 0, 0]",1
or,"[393752.15625, 413193.53125, 407981.46875, 0, 0]",0
it,"[409254.28125, 415858.84375, 0, 0, 0]",0
will,"[415858.84375, 0, 0, 0, 0]",0
be,"[411214.125, 0, 0, 0, 0]",0
sure,"[411214.125, 0, 0, 0, 0]",1
death,"[397039.15625, 0, 0, 0, 0]",1
for,"[406499.15625, 0, 0, 0, 0]",0
all,"[415497.65625, 0, 0, 0, 0]",0
of,"[415497.65625, 0, 0, 0, 0]",0
you.,"[359103.40625, 0, 0, 0, 0]",0
There,"[421766.90625, 0, 0, 0, 0]",0
were,"[421766.90625, 0, 0, 0, 0]",0
no,"[397728.5625, 0, 0, 0, 0]",0
bonus,"[397728.5625, 413029.34375, 0, 0, 0]",1
features.,"[413029.34375, 439642.4375, 0, 0, 0]",1
the,"[420452.625, 0, 0, 0, 0]",0
mast,"[420452.625, 0, 0, 0, 0]",1
first,"[392787.40625, 0, 0, 0, 0]",1
bent,"[424590.28125, 0, 0, 0, 0]",1
and,"[397751.5625, 384595.34375, 0, 0, 0]",0
then,"[394845.125, 0, 0, 0, 0]",0
snapped,"[394845.125, 0, 0, 0, 0]",1
at,"[401536.65625, 0, 0, 0, 0]",0
roughly,"[414236.53125, 431578.0, 0, 0, 0]",0
half,"[431578.0, 0, 0, 0, 0]",1
its,"[413257.46875, 0, 0, 0, 0]",0
height.,"[413257.46875, 0, 0, 0, 0]",1
She,"[394081.53125, 0, 0, 0, 0]",0
was,"[377342.4375, 357146.625, 377582.0, 0, 0]",0
named,"[377582.0, 0, 0, 0, 0]",1
for,"[345975.0625, 0, 0, 0, 0]",0
John,"[366481.34375, 0, 0, 0, 0]",1
Paul,"[384018.1875, 0, 0, 0, 0]",1
Jones.,"[384018.1875, 382001.90625, 0, 0, 0]",1
It,"[351298.25, 0, 0, 0, 0]",0
was,"[351298.25, 0, 0, 0, 0]",0
dramatic!,"[363962.28125, 0, 0, 0, 0]",1
O,"[381697.34375, 0, 0, 0, 0]",0
label,"[381697.34375, 0, 0, 0, 0]",1
State,"[389088.40625, 0, 0, 0, 0]",1
" Park,","[379021.25, 0, 0, 0, 0]",1
a,"[378011.34375, 0, 0, 0, 0]",0
Pennsylvania,"[378011.34375, 392216.03125, 0, 0, 0]",1
State,"[386401.28125, 398202.21875, 0, 0, 0]",1
" Park,","[398202.21875, 377668.84375, 0, 0, 0]",1
is,"[384200.25, 0, 0, 0, 0]",0
in,"[373941.46875, 0, 0, 0, 0]",0
Stewitz,"[393235.0625, 394585.09375, 0, 0, 0]",1
and,"[400839.09375, 0, 0, 0, 0]",0
Township.,"[400839.09375, 375816.21875, 0, 0, 0]",1
The,"[409070.46875, 0, 0, 0, 0]",0
National,"[409070.46875, 421244.65625, 0, 0, 0]",1
Park,"[421244.65625, 371812.71875, 0, 0, 0]",1
is,"[371812.71875, 381890.25, 0, 0, 0]",0
located,"[437414.40625, 401781.9375, 0, 0, 0]",1
west,"[401781.9375, 377498.21875, 0, 0, 0]",1
of,"[377498.21875, 417325.25, 0, 0, 0]",0
Esperance,"[417325.25, 436153.78125, 0, 0, 0]",1
on,"[415743.03125, 419273.96875, 0, 0, 0]",0
the,"[419273.96875, 0, 0, 0, 0]",0
southern,"[364640.53125, 386460.3125, 0, 0, 0]",1
coast.,"[386460.3125, 389602.21875, 0, 0, 0]",1
Victorian,"[348515.8125, 409708.21875, 0, 0, 0]",1
and,"[391130.8125, 432055.15625, 0, 0, 0]",0
Tasmanian,"[432055.15625, 400012.4375, 401641.71875, 0, 0]",1
politicians,"[401641.71875, 409428.25, 0, 0, 0]",1
were,"[404861.28125, 366185.5, 419038.34375, 0, 0]",0
particularly,"[419038.34375, 415728.28125, 0, 0, 0]",0
active,"[382020.28125, 385333.65625, 0, 0, 0]",1
in,"[351266.71875, 418382.78125, 379416.34375, 0, 0]",0
the,"[379416.34375, 0, 0, 0, 0]",0
federation,"[379416.34375, 407964.3125, 429584.21875, 0, 0]",1
process.,"[429584.21875, 433082.15625, 0, 0, 0]",1
Users,"[432358.375, 0, 0, 0, 0]",1
had,"[389996.25, 0, 0, 0, 0]",0
the,"[389996.25, 0, 0, 0, 0]",0
ability,"[393207.4375, 0, 0, 0, 0]",0
to,"[393207.4375, 0, 0, 0, 0]",0
vote,"[348031.25, 0, 0, 0, 0]",1
on,"[347425.375, 0, 0, 0, 0]",0
the,"[347425.375, 0, 0, 0, 0]",0
songs,"[347425.375, 0, 0, 0, 0]",1
they,"[381662.3125, 0, 0, 0, 0]",0
heard.,"[381662.3125, 0, 0, 0, 0]",1
" Intermountains,","[419500.875, 434905.21875, 423945.59375, 0, 0]",1
main,"[360961.96875, 0, 0, 0, 0]",1
base,"[360961.96875, 0, 0, 0, 0]",1
of,"[419085.90625, 0, 0, 0, 0]",0
operations,"[419085.90625, 418320.5, 0, 0, 0]",1
was,"[405995.5625, 0, 0, 0, 0]",0
Marana.,"[411685.25, 385429.34375, 0, 0, 0]",1
Army,"[378311.375, 0, 0, 0, 0]",1
Airfield,"[356295.34375, 371639.625, 0, 0, 0]",1
near,"[407715.6875, 0, 0, 0, 0]",1
" Tucson,","[407715.6875, 370847.46875, 0, 0, 0]",1
Arizona.,"[383509.0, 390050.75, 0, 0, 0]",1
" One,","[388792.375, 0, 0, 0, 0]",1
must,"[424996.875, 0, 0, 0, 0]",1
make,"[424996.875, 0, 0, 0, 0]",1
an,"[424996.875, 0, 0, 0, 0]",0
effort,"[480050.21875, 0, 0, 0, 0]",0
for,"[480050.21875, 0, 0, 0, 0]",0
an,"[439147.78125, 0, 0, 0, 0]",0
old,"[439147.78125, 0, 0, 0, 0]",1
-school,"[389207.28125, 0, 0, 0, 0]",1
friend.,"[389207.28125, 0, 0, 0, 0]",1
Black,"[441922.1875, 0, 0, 0, 0]",1
would,"[441922.1875, 0, 0, 0, 0]",0
later,"[401217.875, 0, 0, 0, 0]",0
become,"[397347.3125, 0, 0, 0, 0]",0
a,"[397347.3125, 0, 0, 0, 0]",0
partner,"[372370.84375, 0, 0, 0, 0]",0
in,"[372370.84375, 380836.78125, 370486.75, 0, 0]",0
the,"[397336.125, 0, 0, 0, 0]",0
business,"[397336.125, 0, 0, 0, 0]",1
with,"[387503.625, 383896.28125, 341046.0625, 0, 0]",0
sure.,"[341046.0625, 0, 0, 0, 0]",0
The,"[413626.28125, 0, 0, 0, 0]",0
Australian,"[413626.28125, 423836.71875, 0, 0, 0]",1
Bulldog,"[432966.03125, 421909.03125, 0, 0, 0]",1
ants,"[421909.03125, 360753.53125, 0, 0, 0]",1
are,"[360753.53125, 366380.90625, 0, 0, 0]",0
among,"[366380.90625, 0, 0, 0, 0]",1
the,"[342470.15625, 0, 0, 0, 0]",0
biggest,"[342470.15625, 0, 0, 0, 0]",1
and,"[337503.25, 396259.15625, 0, 0, 0]",0
most,"[386962.28125, 403326.0, 0, 0, 0]",0
peaceful,"[403326.0, 390173.09375, 0, 0, 0]",1
of,"[417721.75, 392466.96875, 0, 0, 0]",0
ants.,"[364013.4375, 0, 0, 0, 0]",1
Starfighters,"[392646.78125, 369446.65625, 391671.0625, 0, 0]",1
are,"[391671.0625, 0, 0, 0, 0]",0
equipped,"[384424.40625, 0, 0, 0, 0]",0
with,"[358961.1875, 0, 0, 0, 0]",0
different,"[358961.1875, 0, 0, 0, 0]",0
" weaponry,","[392048.65625, 373234.59375, 0, 0, 0]",1
which,"[393394.78125, 0, 0, 0, 0]",0
can,"[378317.59375, 0, 0, 0, 0]",0
be,"[378317.59375, 0, 0, 0, 0]",0
highly,"[378317.59375, 0, 0, 0, 0]",0
effective,"[397494.78125, 370042.125, 0, 0, 0]",1
in,"[349547.09375, 0, 0, 0, 0]",0
certain,"[349547.09375, 374507.34375, 0, 0, 0]",0
missions.,"[374507.34375, 0, 0, 0, 0]",1
The,"[329288.28125, 391679.09375, 0, 0, 0]",0
National,"[391679.09375, 0, 0, 0, 0]",1
Assembly,"[398104.09375, 419605.9375, 0, 0, 0]",1
convenes,"[419605.9375, 417582.90625, 0, 0, 0]",1
twice,"[400862.59375, 0, 0, 0, 0]",0
a,"[374396.34375, 0, 0, 0, 0]",0
year,"[338031.03125, 0, 0, 0, 0]",0
in,"[338031.03125, 415609.65625, 0, 0, 0]",0
ordinary,"[365862.34375, 381411.0, 0, 0, 0]",1
periods,"[381411.0, 391502.75, 0, 0, 0]",1
of,"[391502.75, 0, 0, 0, 0]",0
seasons.,"[403715.59375, 0, 0, 0, 0]",1
because,"[419922.15625, 0, 0, 0, 0]",0
of,"[378920.53125, 0, 0, 0, 0]",0
its,"[378920.53125, 0, 0, 0, 0]",0
limited,"[362893.21875, 368106.875, 0, 0, 0]",1
release.,"[368106.875, 389931.5, 0, 0, 0]",1
It,"[375001.65625, 0, 0, 0, 0]",0
is,"[375001.65625, 0, 0, 0, 0]",0
now,"[375001.65625, 0, 0, 0, 0]",0
considered,"[387741.53125, 364992.90625, 0, 0, 0]",0
a,"[383159.59375, 0, 0, 0, 0]",0
collector's,"[383159.59375, 381290.21875, 0, 0, 0]",1
item.,"[429470.09375, 0, 0, 0, 0]",1
Unglaise,"[359238.65625, 372996.25, 0, 0, 0]",1
Calico,"[379428.34375, 408505.3125, 0, 0, 0]",1
was,"[408505.3125, 364344.6875, 0, 0, 0]",0
traditionally,"[367059.34375, 391783.28125, 0, 0, 0]",1
called,"[391783.28125, 409165.59375, 0, 0, 0]",0
Creton.,"[409165.59375, 380766.78125, 0, 0, 0]",1
The,"[404452.46875, 0, 0, 0, 0]",0
second,"[404452.46875, 0, 0, 0, 0]",1
section,"[427184.875, 391694.90625, 0, 0, 0]",1
is,"[400607.84375, 0, 0, 0, 0]",0
" titled,","[400607.84375, 412832.125, 0, 0, 0]",1
A,"[402733.46875, 0, 0, 0, 0]",0
New,"[402733.46875, 0, 0, 0, 0]",1
Farm,"[392853.15625, 0, 0, 0, 0]",1
Crisis.,"[357180.03125, 372113.53125, 0, 0, 0]",1
not,"[432395.125, 0, 0, 0, 0]",0
a,"[432395.125, 0, 0, 0, 0]",0
dry,"[418843.875, 0, 0, 0, 0]",1
stitch.,"[457273.25, 435345.78125, 0, 0, 0]",1
The,"[479566.59375, 0, 0, 0, 0]",0
lease,"[479566.59375, 0, 0, 0, 0]",1
is,"[477903.75, 0, 0, 0, 0]",0
due,"[397613.40625, 0, 0, 0, 0]",0
to,"[397613.40625, 0, 0, 0, 0]",0
expire.,"[388268.625, 371225.9375, 0, 0, 0]",1
considered,"[447669.0625, 410573.9375, 0, 0, 0]",1
a,"[410573.9375, 0, 0, 0, 0]",0
heretic,"[426711.53125, 424569.34375, 0, 0, 0]",1
by,"[405384.9375, 360125.34375, 0, 0, 0]",0
the,"[360125.34375, 0, 0, 0, 0]",0
Hasidim.,"[343550.09375, 388838.65625, 0, 0, 0]",1
The,"[367533.03125, 0, 0, 0, 0]",0
horse,"[367533.03125, 0, 0, 0, 0]",1
and,"[350312.53125, 394768.5, 0, 0, 0]",0
buggy,"[394768.5, 420027.71875, 0, 0, 0]",1
was,"[420027.71875, 404142.53125, 0, 0, 0]",0
the,"[404142.53125, 0, 0, 0, 0]",0
primary,"[404803.5625, 326949.40625, 0, 0, 0]",1
transportation,"[326949.40625, 393084.53125, 397675.875, 0, 0]",1
among,"[397675.875, 445009.6875, 0, 0, 0]",1
the,"[445009.6875, 0, 0, 0, 0]",0
menonites,"[445653.28125, 425226.84375, 0, 0, 0]",1
for,"[425226.84375, 373422.5625, 0, 0, 0]",0
decades.,"[407333.65625, 389928.8125, 0, 0, 0]",1
provincial,"[373275.28125, 413977.28125, 0, 0, 0]",1
cities,"[413977.28125, 373388.0625, 0, 0, 0]",1
in,"[377167.59375, 394189.15625, 0, 0, 0]",0
Vietnam,"[394189.15625, 391949.9375, 0, 0, 0]",1
are,"[410335.40625, 387724.15625, 403095.46875, 0, 0]",0
placed,"[403095.46875, 0, 0, 0, 0]",1
under,"[375401.09375, 359873.34375, 0, 0, 0]",0
the,"[359873.34375, 0, 0, 0, 0]",0
provinces,"[359873.34375, 426915.46875, 0, 0, 0]",1
government.,"[426915.46875, 407431.59375, 0, 0, 0]",1
it,"[365510.90625, 0, 0, 0, 0]",0
lies,"[365510.90625, 0, 0, 0, 0]",0
in,"[416271.5625, 0, 0, 0, 0]",0
the,"[416271.5625, 0, 0, 0, 0]",0
Shwacha,"[380264.03125, 0, 0, 0, 0]",1
Hills,"[412608.78125, 0, 0, 0, 0]",1
area,"[426875.90625, 428274.40625, 0, 0, 0]",1
of,"[428274.40625, 344547.53125, 0, 0, 0]",0
outstanding,"[344547.53125, 346400.65625, 0, 0, 0]",1
natural,"[346400.65625, 364544.3125, 0, 0, 0]",1
beauty.,"[357095.96875, 386764.8125, 0, 0, 0]",1
Other,"[385986.3125, 0, 0, 0, 0]",0
renovations,"[373821.5, 419923.96875, 397233.25, 0, 0]",1
include,"[397233.25, 402868.40625, 0, 0, 0]",1
a,"[402868.40625, 0, 0, 0, 0]",0
new,"[416584.59375, 0, 0, 0, 0]",0
" ceiling,","[416584.59375, 461538.59375, 0, 0, 0]",1
new,"[368704.9375, 0, 0, 0, 0]",0
lighting,"[368704.9375, 357041.09375, 0, 0, 0]",1
and,"[335272.9375, 393486.28125, 0, 0, 0]",0
a,"[393486.28125, 0, 0, 0, 0]",0
new,"[365006.59375, 0, 0, 0, 0]",0
scoreboard.,"[372067.375, 328190.71875, 0, 0, 0]",1
The,"[350112.34375, 0, 0, 0, 0]",0
buses,"[350112.34375, 0, 0, 0, 0]",1
at,"[437891.21875, 0, 0, 0, 0]",0
the,"[437891.21875, 0, 0, 0, 0]",0
flooded,"[393360.09375, 0, 0, 0, 0]",1
facilities,"[393360.09375, 420617.15625, 0, 0, 0]",1
were,"[396801.4375, 0, 0, 0, 0]",0
mostly,"[390557.46875, 0, 0, 0, 0]",0
written,"[410375.28125, 0, 0, 0, 0]",1
off.,"[410375.28125, 0, 0, 0, 0]",0
The,"[380445.1875, 0, 0, 0, 0]",0
Foundation,"[380445.1875, 380285.9375, 0, 0, 0]",1
supports,"[380285.9375, 338965.53125, 0, 0, 0]",1
" education,","[338965.53125, 361465.84375, 362217.96875, 0, 0]",1
mammogram,"[402122.03125, 0, 0, 0, 0]",1
" screenings,","[422537.03125, 409767.78125, 0, 0, 0]",1
diagnostic,"[355046.0625, 0, 0, 0, 0]",1
testing,"[364809.1875, 365766.21875, 0, 0, 0]",1
and,"[354611.09375, 409992.71875, 0, 0, 0]",0
social,"[409992.71875, 0, 0, 0, 0]",1
therapy,"[395857.03125, 0, 0, 0, 0]",1
programs.,"[457280.4375, 411018.53125, 0, 0, 0]",1
This,"[405145.5, 0, 0, 0, 0]",0
is,"[405145.5, 0, 0, 0, 0]",0
now,"[362371.125, 0, 0, 0, 0]",0
the,"[369278.28125, 348961.34375, 389922.78125, 0, 0]",0
site,"[389922.78125, 0, 0, 0, 0]",1
of,"[356992.625, 0, 0, 0, 0]",0
the,"[401312.34375, 0, 0, 0, 0]",0
Hewlett,"[401312.34375, 437940.03125, 0, 0, 0]",1
Packard,"[437940.03125, 367305.65625, 0, 0, 0]",1
Offices,"[378375.78125, 374951.84375, 0, 0, 0]",1
in,"[374951.84375, 371870.59375, 0, 0, 0]",0
Sydney.,"[388490.625, 0, 0, 0, 0]",1
He,"[356454.5625, 0, 0, 0, 0]",0
was,"[356454.5625, 0, 0, 0, 0]",0
narrowly,"[397039.375, 0, 0, 0, 0]",1
defeated,"[442340.3125, 395957.21875, 0, 0, 0]",1
by,"[395957.21875, 391493.03125, 0, 0, 0]",0
Tahiril,"[391493.03125, 367605.09375, 0, 0, 0]",1
Kahin.,"[397639.40625, 363803.53125, 0, 0, 0]",1
Very,"[388597.0625, 0, 0, 0, 0]",0
good.,"[388597.0625, 0, 0, 0, 0]",1
I,"[365413.0625, 322832.03125, 0, 0, 0]",0
said,"[322832.03125, 0, 0, 0, 0]",0
coldly.,"[322832.03125, 367752.90625, 0, 0, 0]",1
The,"[346800.46875, 0, 0, 0, 0]",0
cut,"[346800.46875, 0, 0, 0, 0]",0
-colded,"[357663.59375, 415265.8125, 0, 0, 0]",0
herring,"[415265.8125, 0, 0, 0, 0]",1
bone,"[382358.46875, 0, 0, 0, 0]",1
then,"[382358.46875, 398710.84375, 0, 0, 0]",0
entomes,"[332219.28125, 357030.46875, 0, 0, 0]",1
them,"[413224.84375, 0, 0, 0, 0]",0
alive,"[413224.84375, 0, 0, 0, 0]",1
and,"[433562.46875, 0, 0, 0, 0]",0
then,"[394178.28125, 0, 0, 0, 0]",0
alcove,"[394178.28125, 387300.09375, 0, 0, 0]",1
in,"[387300.09375, 0, 0, 0, 0]",0
the,"[397237.46875, 0, 0, 0, 0]",0
basement.,"[397237.46875, 0, 0, 0, 0]",1
Its,"[451028.28125, 0, 0, 0, 0]",0
normal,"[470899.09375, 0, 0, 0, 0]",1
